baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id.84	gene_name.84	gene_type.84	chr.84	start.84	stop.84	loc.84	Gene	gene_type.107	chr	start	stop.107	loc.107	gene_id.107
AARS2	736.023028825109	0.0164987840672195	0.151706462891776	0.108754655225133	0.91339709029779	0.972576977932404	ENSG00000124608	AARS2	protein_coding	chr6	44299654	44313326	chr6:44299654	AARS2	protein_coding	chr6	44298731	44313347	chr6:44298731	ENSG00000124608
AARSD1	670.861251981523	0.0728663944696771	0.185904652003085	0.391955734751962	0.695090920674693	0.889749841887214	ENSG00000266967	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	AARSD1	protein_coding	chr17	42950526	42964498	chr17:42950526	ENSG00000266967
AASDH	475.812084845	-0.353548662345041	0.1383968108588	-2.55460122347581	0.0106309514148326	0.133257635949034	ENSG00000157426	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	AASDH	protein_coding	chr4	56338287	56387508	chr4:56338287	ENSG00000157426
AASDHPPT	530.546035525898	0.106212138583843	0.145682840016955	0.72906416824028	0.465962411630427	0.76903389168901	ENSG00000149313	AASDHPPT	protein_coding	chr11	106075501	106098710	chr11:106075501	AASDHPPT	protein_coding	chr11	106075501	106098699	chr11:106075501	ENSG00000149313
AASS	139.960727791228	-0.578076056019603	0.209054291427386	-2.7651958353622	0.00568886313818832	0.0950789098048024	ENSG00000008311	AASS	protein_coding	chr7	122075647	122144280	chr7:122075647	AASS	protein_coding	chr7	122064583	122144308	chr7:122064583	ENSG00000008311
AATF	2475.276736092	0.0364583909637963	0.115598335279523	0.315388546691767	0.752466661854271	0.913276563185454	ENSG00000275700	AATF	protein_coding	chr17	36948875	37056871	chr17:36948875	AATF	protein_coding	chr17	36948925	37056871	chr17:36948925	ENSG00000275700
ABALON	92.3207069826294	0.104286316063858	0.204817140648391	0.509167913064882	0.610634532027424	0.849795213601443	ENSG00000281376	ABALON	antisense	chr20	31721507	31723409	chr20:31721507	ABALON	lncRNA	chr20	31721507	31723409	chr20:31721507	ENSG00000281376
ABAT	328.21865221138	-0.180358804899067	0.135463295927113	-1.33142194470236	0.183050212659866	0.523931401159147	ENSG00000183044	ABAT	protein_coding	chr16	8674565	8784575	chr16:8674565	ABAT	protein_coding	chr16	8674596	8784575	chr16:8674596	ENSG00000183044
ABCA1	336.246730406162	0.490485848013089	0.269275011236525	1.8215052550207	0.0685300885968456	0.33715399873015	ENSG00000165029	ABCA1	protein_coding	chr9	104781002	104928237	chr9:104781002	ABCA1	protein_coding	chr9	104781006	104928155	chr9:104781006	ENSG00000165029
ABCA2	3094.20657183474	-0.14628657387634	0.198859565050223	-0.73562754620023	0.461957393965788	0.766768000055499	ENSG00000107331	ABCA2	protein_coding	chr9	137007227	137028922	chr9:137007227	ABCA2	protein_coding	chr9	137007234	137028915	chr9:137007234	ENSG00000107331
ABCA3	468.714147682718	0.0514521591684928	0.181114951506717	0.28408565245694	0.776344741881444	0.922406017147203	ENSG00000167972	ABCA3	protein_coding	chr16	2275881	2340746	chr16:2275881	ABCA3	protein_coding	chr16	2275881	2340746	chr16:2275881	ENSG00000167972
ABCA5	1548.48989647609	0.190509317892234	0.165788430766163	1.1491110508244	0.25051019219016	0.598894439714087	ENSG00000154265	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ABCA5	protein_coding	chr17	69244311	69327244	chr17:69244311	ENSG00000154265
ABCA7	5360.78202525891	-0.274552441086207	0.229386509237896	-1.19689881501039	0.231345996113783	0.579345681361747	ENSG00000064687	ABCA7	protein_coding	chr19	1040101	1065572	chr19:1040101	ABCA7	protein_coding	chr19	1039997	1065572	chr19:1039997	ENSG00000064687
ABCA9	296.310401264289	0.16073398451154	0.143740207102273	1.11822563604055	0.263470637934236	0.611243931019506	ENSG00000154258	ABCA9	protein_coding	chr17	68974488	69061064	chr17:68974488	ABCA9	protein_coding	chr17	68974488	69060949	chr17:68974488	ENSG00000154258
ABCB1	284.316631701652	-0.322670612289898	0.235601465997586	-1.36956113971381	0.170823937190661	0.506982741564762	ENSG00000085563	ABCB1	protein_coding	chr7	87503633	87713323	chr7:87503633	ABCB1	protein_coding	chr7	87503017	87713323	chr7:87503017	ENSG00000085563
ABCB10	845.551992571338	-0.136439226154655	0.118696408754609	-1.14948065898714	0.250357837453897	0.598826518954774	ENSG00000135776	ABCB10	protein_coding	chr1	229516582	229558695	chr1:229516582	ABCB10	protein_coding	chr1	229516582	229558707	chr1:229516582	ENSG00000135776
ABCB6	179.566469914513	-0.270314213028984	0.192196938222574	-1.40644390867427	0.159592349574843	0.493029334358666	ENSG00000115657	ABCB6	protein_coding	chr2	219209768	219218990	chr2:219209768	ABCB6	protein_coding	chr2	219209772	219218994	chr2:219209772	ENSG00000115657
ABCB8	1057.58909436469	-0.0802504189942489	0.161662886970367	-0.49640595004937	0.619608027947885	0.853523862851238	ENSG00000197150	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ABCB8	protein_coding	chr7	151028422	151047782	chr7:151028422	ENSG00000197150
ABCC1	5670.797194472	0.0716535919628519	0.155930421830645	0.459522850779397	0.645858746521907	0.867897299804129	ENSG00000103222	ABCC1	protein_coding	chr16	15949577	16143074	chr16:15949577	ABCC1	protein_coding	chr16	15949138	16143257	chr16:15949138	ENSG00000103222
ABCC10	1474.53755953091	-0.16786343183214	0.176790379523806	-0.949505466780995	0.342363592928787	0.682144139849039	ENSG00000124574	ABCC10	protein_coding	chr6	43427366	43450430	chr6:43427366	ABCC10	protein_coding	chr6	43427366	43450427	chr6:43427366	ENSG00000124574
ABCC2	219.925918247025	0.0558461398860892	0.128339491077367	0.435143847129826	0.663458018425933	0.875488525430391	ENSG00000023839	ABCC2	protein_coding	chr10	99782732	99852192	chr10:99782732	ABCC2	protein_coding	chr10	99782640	99852594	chr10:99782640	ENSG00000023839
ABCC4	403.745718184116	0.0328594986752486	0.105883312996368	0.310336895827729	0.756304776393448	0.915019464110719	ENSG00000125257	ABCC4	protein_coding	chr13	95019829	95301446	chr13:95019829	ABCC4	protein_coding	chr13	95019835	95301475	chr13:95019835	ENSG00000125257
ABCC5	1408.4630183293	-0.232873018482303	0.107586608204677	-2.16451677739738	0.0304247103944013	0.229348964832408	ENSG00000114770	ABCC5	protein_coding	chr3	183919934	184018015	chr3:183919934	ABCC5	protein_coding	chr3	183919934	184017939	chr3:183919934	ENSG00000114770
ABCC9	957.832269506139	0.266418652396941	0.15467237687213	1.72247079785419	0.0849842683253635	0.373128204419128	ENSG00000069431	ABCC9	protein_coding	chr12	21797401	21941402	chr12:21797401	ABCC9	protein_coding	chr12	21797389	21942543	chr12:21797389	ENSG00000069431
ABCD2	999.306752313913	-0.282797667995534	0.191394743640907	-1.47756235419985	0.139524956924184	0.46459373212282	ENSG00000173208	ABCD2	protein_coding	chr12	39550033	39619751	chr12:39550033	ABCD2	protein_coding	chr12	39550033	39619803	chr12:39550033	ENSG00000173208
ABCD3	598.530895293225	0.0697053741523949	0.0984956802043525	0.707699809857394	0.479131695524498	0.776633299243812	ENSG00000117528	ABCD3	protein_coding	chr1	94418455	94518666	chr1:94418455	ABCD3	protein_coding	chr1	94418389	94518666	chr1:94418389	ENSG00000117528
ABCD4	1302.75384879432	-0.0144797559721603	0.128551929366707	-0.112637406871236	0.910318027357061	0.971611667208443	ENSG00000119688	ABCD4	protein_coding	chr14	74285423	74303056	chr14:74285423	ABCD4	protein_coding	chr14	74285269	74303055	chr14:74285269	ENSG00000119688
ABCE1	1916.51529413073	0.245037378997534	0.166640482394768	1.4704552907921	0.14143848604942	0.467088985894314	ENSG00000164163	ABCE1	protein_coding	chr4	145097932	145129179	chr4:145097932	ABCE1	protein_coding	chr4	145098288	145129524	chr4:145098288	ENSG00000164163
ABCF1	2346.24571869931	-0.199972154065032	0.115585360285843	-1.73008202397345	0.0836156214334538	0.370049671298654	ENSG00000204574	ABCF1	protein_coding	chr6	30571376	30597179	chr6:30571376	ABCF1	protein_coding	chr6	30571393	30597179	chr6:30571393	ENSG00000204574
ABCF2	1462.31687931636	-0.370706261827132	0.190123599466455	-1.9498171866483	0.0511979123433483	0.293784827647454	ENSG00000033050	ABCF2	protein_coding	chr7	151207837	151227230	chr7:151207837	ABCF2	protein_coding	chr7	151211484	151227205	chr7:151211484	ENSG00000033050
ABCF3	1438.74357420559	-0.0115531153731628	0.139104010557458	-0.0830537906625679	0.933808768550763	0.978538089847355	ENSG00000161204	ABCF3	protein_coding	chr3	184186023	184194012	chr3:184186023	ABCF3	protein_coding	chr3	184186095	184194012	chr3:184186095	ENSG00000161204
ABCG1	909.170630831319	-0.26307632280767	0.208893104456931	-1.25938251284838	0.207892202657521	0.554645687880684	ENSG00000160179	ABCG1	protein_coding	chr21	42199689	42297244	chr21:42199689	ABCG1	protein_coding	chr21	42199689	42297244	chr21:42199689	ENSG00000160179
ABHD10	577.004496819629	0.0879870251550635	0.131082683908604	0.671233015158675	0.502072099525132	0.791283801371181	ENSG00000144827	ABHD10	protein_coding	chr3	111979010	111993363	chr3:111979010	ABHD10	protein_coding	chr3	111979010	111993368	chr3:111979010	ENSG00000144827
ABHD11	239.141142785229	-0.04419313338424	0.146411453721812	-0.301842050337189	0.762772473468482	0.917027755109384	ENSG00000106077	ABHD11	protein_coding	chr7	73736094	73738867	chr7:73736094	ABHD11	protein_coding	chr7	73736094	73738852	chr7:73736094	ENSG00000106077
ABHD12	668.992432729989	0.0175221481202274	0.193280969560064	0.0906563546328971	0.927765651720633	0.977321885689543	ENSG00000100997	ABHD12	protein_coding	chr20	25294743	25390983	chr20:25294743	ABHD12	protein_coding	chr20	25294742	25390835	chr20:25294742	ENSG00000100997
ABHD13	1042.41604339269	0.143339459418686	0.178079290003969	0.804919311029887	0.420866243917584	0.738855543967168	ENSG00000139826	ABHD13	protein_coding	chr13	108218379	108234255	chr13:108218379	ABHD13	protein_coding	chr13	108218392	108234243	chr13:108218392	ENSG00000139826
ABHD14A	407.392333647048	-0.175425980135227	0.252033572973326	-0.696042110841294	0.486402458054768	0.780908649830368	ENSG00000248487	ABHD14A	protein_coding	chr3	51971426	51981199	chr3:51971426	ABHD14A	protein_coding	chr3	51971426	51981196	chr3:51971426	ENSG00000248487
ABHD14B	3162.60672567008	0.0772496485183743	0.230011531797089	0.33585119804568	0.736983079814707	0.906687264237481	ENSG00000114779	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ABHD14B	protein_coding	chr3	51968510	51983409	chr3:51968510	ENSG00000114779
ABHD15	820.29285624046	-0.206779921196453	0.182983508954494	-1.13004675873757	0.258456522219708	0.60598345075295	ENSG00000168792	ABHD15	protein_coding	chr17	29560547	29567137	chr17:29560547	ABHD15	protein_coding	chr17	29560547	29567037	chr17:29560547	ENSG00000168792
ABHD16A	861.198455160261	-0.179859366926627	0.197242255921958	-0.911870360060126	0.36183696614303	0.696489809723222	ENSG00000204427	ABHD16A	protein_coding	chr6	31686949	31703444	chr6:31686949	ABHD16A	protein_coding	chr6	31686955	31703356	chr6:31686955	ENSG00000204427
ABHD17A	2693.99537122322	-0.132924315706668	0.222641560917763	-0.597032805369912	0.550485478418693	0.81924090558137	ENSG00000129968	ABHD17A	protein_coding	chr19	1876810	1885547	chr19:1876810	ABHD17A	protein_coding	chr19	1876810	1885496	chr19:1876810	ENSG00000129968
ABHD17B	538.505920915819	0.454035557447089	0.160575111441737	2.82755872544936	0.00469044116122537	0.0865255081479166	ENSG00000107362	ABHD17B	protein_coding	chr9	71862452	71910931	chr9:71862452	ABHD17B	protein_coding	chr9	71862452	71911193	chr9:71862452	ENSG00000107362
ABHD17C	58.6106139486203	-0.270253969610627	0.220404124728402	-1.22617473671899	0.220132926067531	0.567786055352305	ENSG00000136379	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ABHD17C	protein_coding	chr15	80679684	80755621	chr15:80679684	ENSG00000136379
ABHD18	1209.6956609334	-0.0460013181328537	0.106575894513985	-0.431629669566764	0.666010591009601	0.876482708849154	ENSG00000164074	ABHD18	protein_coding	chr4	127965306	128039711	chr4:127965306	ABHD18	protein_coding	chr4	127965306	128039953	chr4:127965306	ENSG00000164074
ABHD2	2506.94955565102	-0.265680764833539	0.104947866693009	-2.53154993241266	0.0113559647489903	0.138530806589457	ENSG00000140526	ABHD2	protein_coding	chr15	89087459	89202360	chr15:89087459	ABHD2	protein_coding	chr15	89087459	89202355	chr15:89087459	ENSG00000140526
ABHD3	875.070543653215	-0.286582908992668	0.101766138294515	-2.81609299316525	0.0048611593640156	0.0878951088377869	ENSG00000158201	ABHD3	protein_coding	chr18	21650897	21704805	chr18:21650897	ABHD3	protein_coding	chr18	21650901	21704780	chr18:21650901	ENSG00000158201
ABHD4	338.381832072292	-0.562512922841193	0.204998159264751	-2.74399011610011	0.00606973654141578	0.0985711073299343	ENSG00000100439	ABHD4	protein_coding	chr14	22598237	22613215	chr14:22598237	ABHD4	protein_coding	chr14	22598290	22612963	chr14:22598290	ENSG00000100439
ABHD5	132.894787122881	0.125027545849972	0.150182377593428	0.832504770888935	0.405124086376902	0.72913048195476	ENSG00000011198	ABHD5	protein_coding	chr3	43690113	43734371	chr3:43690113	ABHD5	protein_coding	chr3	43690108	43734371	chr3:43690108	ENSG00000011198
ABHD6	85.0150603026926	-0.688723291159571	0.149721117038863	-4.60004109494322	4.22407600830013e-06	0.00134106616158647	ENSG00000163686	ABHD6	protein_coding	chr3	58237506	58295693	chr3:58237506	ABHD6	protein_coding	chr3	58237532	58295693	chr3:58237532	ENSG00000163686
ABHD8	234.497199237131	-0.0901636615751249	0.241488272163357	-0.373366626740917	0.708875594551513	0.894680429716168	ENSG00000127220	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ABHD8	protein_coding	chr19	17292131	17310236	chr19:17292131	ENSG00000127220
ABI1	3072.00101357421	0.0653422494941836	0.098811725232264	0.661280322153995	0.508432558535295	0.795848078009521	ENSG00000136754	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ABI1	protein_coding	chr10	26746593	26861087	chr10:26746593	ENSG00000136754
ABI2	2047.14346956042	-0.198066512865661	0.10371211664824	-1.90977215842043	0.0561625555208199	0.30771304294814	ENSG00000138443	ABI2	protein_coding	chr2	203328219	203447723	chr2:203328219	ABI2	protein_coding	chr2	203328280	203447728	chr2:203328280	ENSG00000138443
ABI3	227.789511632941	-0.994161904383312	0.241247147514163	-4.12092708505474	3.77350848749611e-05	0.00577181766974721	ENSG00000108798	ABI3	protein_coding	chr17	49210227	49223225	chr17:49210227	ABI3	protein_coding	chr17	49210411	49223225	chr17:49210411	ENSG00000108798
ABL1	2073.6014224172	0.17755267046954	0.160276697676943	1.10778842491139	0.267953200211289	0.615956308039991	ENSG00000097007	ABL1	protein_coding	chr9	130713946	130887675	chr9:130713946	ABL1	protein_coding	chr9	130713016	130887675	chr9:130713016	ENSG00000097007
ABL2	1995.00360845154	0.0896711173248252	0.0962766907002407	0.931389692277832	0.351652020892647	0.689443722822478	ENSG00000143322	ABL2	protein_coding	chr1	179099327	179229684	chr1:179099327	ABL2	protein_coding	chr1	179099330	179229684	chr1:179099330	ENSG00000143322
ABLIM1	17200.3612196781	-0.0508831536765107	0.127254252706464	-0.399854249224051	0.689263871225756	0.88692809255378	ENSG00000099204	ABLIM1	protein_coding	chr10	114431113	114685003	chr10:114431113	ABLIM1	protein_coding	chr10	114431112	114768061	chr10:114431112	ENSG00000099204
ABLIM2	109.210868708508	-0.217171096284525	0.158694786208684	-1.36848286873737	0.171160980742238	0.50749934491848	ENSG00000163995	ABLIM2	protein_coding	chr4	7965310	8158832	chr4:7965310	ABLIM2	protein_coding	chr4	7965310	8158832	chr4:7965310	ENSG00000163995
ABR	3289.58436672097	-0.108872142012223	0.107831370915971	-1.009651839603	0.31266212378087	0.657571317501211	ENSG00000159842	ABR	protein_coding	chr17	1003518	1229021	chr17:1003518	ABR	protein_coding	chr17	1003519	1229738	chr17:1003519	ENSG00000159842
ABRACL	1052.29983073127	-0.36021911191019	0.165507997627151	-2.17644535052424	0.0295219758599789	0.225667102646904	ENSG00000146386	ABRACL	protein_coding	chr6	139028682	139043302	chr6:139028682	ABRACL	protein_coding	chr6	139028745	139043302	chr6:139028745	ENSG00000146386
ABT1	1562.94096043293	0.361585077274774	0.214292167179312	1.68734621537619	0.0915367993209636	0.386733911030354	ENSG00000146109	ABT1	protein_coding	chr6	26596952	26600744	chr6:26596952	ABT1	protein_coding	chr6	26596953	26600739	chr6:26596953	ENSG00000146109
ABTB1	2210.72799818811	0.100579626720605	0.212405182421355	0.473527178452184	0.635837115481508	0.862935228838706	ENSG00000114626	ABTB1	protein_coding	chr3	127672935	127680920	chr3:127672935	ABTB1	protein_coding	chr3	127672935	127680926	chr3:127672935	ENSG00000114626
ACAA1	1668.32667359446	-0.010245751839642	0.200088445667284	-0.0512061144034226	0.959161279649256	0.985986096564705	ENSG00000060971	ACAA1	protein_coding	chr3	38103129	38137242	chr3:38103129	ACAA1	protein_coding	chr3	38103129	38137242	chr3:38103129	ENSG00000060971
ACAA2	815.804284419766	-0.190427968390947	0.184052860397977	-1.03463737525831	0.300838292485849	0.647131404369001	ENSG00000167315	ACAA2	protein_coding	chr18	49782167	49813960	chr18:49782167	ACAA2	protein_coding	chr18	49782164	49813953	chr18:49782164	ENSG00000167315
ACACA	913.221279879955	0.194642114095023	0.134606070774442	1.44601289507353	0.148173585026344	0.476651128109868	ENSG00000278540	ACACA	protein_coding	chr17	37084988	37406818	chr17:37084988	ACACA	protein_coding	chr17	37084992	37406836	chr17:37084992	ENSG00000278540
ACACB	1569.71157698747	-0.106078231490591	0.114750971633434	-0.924421205159396	0.355267058469577	0.692168008981598	ENSG00000076555	ACACB	protein_coding	chr12	109116595	109268226	chr12:109116595	ACACB	protein_coding	chr12	109116587	109268226	chr12:109116587	ENSG00000076555
ACAD10	1170.16264406634	-0.110693902388166	0.13020540801667	-0.850148270139391	0.395242657724383	0.722360290822982	ENSG00000111271	ACAD10	protein_coding	chr12	111686056	111757107	chr12:111686056	ACAD10	protein_coding	chr12	111686053	111757107	chr12:111686053	ENSG00000111271
ACAD11	1218.58972443338	0.121852986851676	0.138986251338908	0.876726911315467	0.380634986016345	0.710428149263364	ENSG00000240303	ACAD11	protein_coding	chr3	132558138	132660723	chr3:132558138	ACAD11	protein_coding	chr3	132558138	132660082	chr3:132558138	ENSG00000240303
ACAD8	778.363183727174	-0.350949464526553	0.126705727087231	-2.76979953940788	0.0056090802307673	0.094220546466487	ENSG00000151498	ACAD8	protein_coding	chr11	134253495	134265855	chr11:134253495	ACAD8	protein_coding	chr11	134253548	134265855	chr11:134253548	ENSG00000151498
ACAD9	705.997356026992	-0.13757861796892	0.147240271088387	-0.93438172146758	0.35010702300378	0.688014150403252	ENSG00000177646	ACAD9	protein_coding	chr3	128879596	128916067	chr3:128879596	ACAD9	protein_coding	chr3	128879596	128924003	chr3:128879596	ENSG00000177646
ACADM	456.913432096747	-0.55990599777748	0.198160626288077	-2.82551588711429	0.00472045470537154	0.0866617386002149	ENSG00000117054	ACADM	protein_coding	chr1	75724347	75787575	chr1:75724347	ACADM	protein_coding	chr1	75724431	75787575	chr1:75724431	ENSG00000117054
ACADS	340.722608712811	-0.125913845202723	0.265029756766154	-0.475093237601322	0.63472051827832	0.862669805815141	ENSG00000122971	ACADS	protein_coding	chr12	120725735	120740008	chr12:120725735	ACADS	protein_coding	chr12	120725774	120740008	chr12:120725774	ENSG00000122971
ACADSB	2097.2415247715	0.0376599921456323	0.114717205393727	0.328285473973826	0.742695826230366	0.909396597263365	ENSG00000196177	ACADSB	protein_coding	chr10	123008979	123058311	chr10:123008979	ACADSB	protein_coding	chr10	123008979	123058290	chr10:123008979	ENSG00000196177
ACADVL	3979.21404882439	0.0775582463982761	0.17347342299953	0.447090079028914	0.654810021914681	0.871901244533839	ENSG00000072778	ACADVL	protein_coding	chr17	7217125	7225273	chr17:7217125	ACADVL	protein_coding	chr17	7217125	7225266	chr17:7217125	ENSG00000072778
ACAP1	10976.4603599853	-0.151430972002283	0.194013856302891	-0.780516272847397	0.435087052971115	0.749701065532682	ENSG00000072818	ACAP1	protein_coding	chr17	7336529	7351478	chr17:7336529	ACAP1	protein_coding	chr17	7336529	7351477	chr17:7336529	ENSG00000072818
ACAP2	3484.08901953707	-0.101894738044794	0.166791376805273	-0.610911307265932	0.541258298720324	0.814043094662403	ENSG00000114331	ACAP2	protein_coding	chr3	195274736	195443078	chr3:195274736	ACAP2	protein_coding	chr3	195274745	195443044	chr3:195274745	ENSG00000114331
ACAP2-IT1	63.3618270190444	-0.187946492899213	0.271700162001628	-0.691742292365973	0.489099182480767	0.783267455006341	ENSG00000229325	ACAP2-IT1	sense_intronic	chr3	195280723	195282741	chr3:195280723	ACAP2-IT1	lncRNA	chr3	195280723	195282741	chr3:195280723	ENSG00000229325
ACAP3	1287.14902593754	0.0187448889296581	0.19919804382756	0.0941017721332897	0.925028312671308	0.976275149535611	ENSG00000131584	ACAP3	protein_coding	chr1	1292376	1309609	chr1:1292376	ACAP3	protein_coding	chr1	1292390	1309609	chr1:1292390	ENSG00000131584
ACAT1	663.246717709133	-0.278624026484795	0.145434846217007	-1.91579964315466	0.0553906031916577	0.305237873095544	ENSG00000075239	ACAT1	protein_coding	chr11	108121516	108147776	chr11:108121516	ACAT1	protein_coding	chr11	108116695	108147603	chr11:108116695	ENSG00000075239
ACAT2	627.807316595395	-0.146038704403845	0.146758459133965	-0.995095650810405	0.319689745727925	0.663363965415034	ENSG00000120437	ACAT2	protein_coding	chr6	159760328	159779055	chr6:159760328	ACAT2	protein_coding	chr6	159762045	159779112	chr6:159762045	ENSG00000120437
ACBD3	915.639992085684	0.243127473749864	0.148952012143423	1.63225370541326	0.102626051325316	0.405998682529022	ENSG00000182827	ACBD3	protein_coding	chr1	226144679	226186730	chr1:226144679	ACBD3	protein_coding	chr1	226144679	226186741	chr1:226144679	ENSG00000182827
ACBD4	765.762300606848	-0.0588803787371883	0.195272632662509	-0.301529087483302	0.763011072883568	0.917082685521756	ENSG00000181513	ACBD4	protein_coding	chr17	45132600	45144181	chr17:45132600	ACBD4	protein_coding	chr17	45132600	45144181	chr17:45132600	ENSG00000181513
ACBD5	966.498534580669	0.188857574985674	0.120023194041047	1.57350899127952	0.115601008031868	0.427139568072173	ENSG00000107897	ACBD5	protein_coding	chr10	27195214	27242130	chr10:27195214	ACBD5	protein_coding	chr10	27168135	27243046	chr10:27168135	ENSG00000107897
ACBD6	980.489774436805	0.22165151933326	0.161170107461321	1.3752644508626	0.169049473353111	0.505142395818739	ENSG00000230124	ACBD6	protein_coding	chr1	180269653	180502954	chr1:180269653	ACBD6	protein_coding	chr1	180269653	180502954	chr1:180269653	ENSG00000230124
ACBD7	195.779607362113	0.214952786044085	0.143962261924387	1.49311898250796	0.13540604445194	0.458246173864208	ENSG00000176244	ACBD7	protein_coding	chr10	15077523	15088776	chr10:15077523	ACBD7	protein_coding	chr10	15075475	15088776	chr10:15075475	ENSG00000176244
ACCS	675.841460126922	0.0814975570407544	0.271612678320521	0.300050636607552	0.764138531545208	0.917702284349779	ENSG00000110455	ACCS	protein_coding	chr11	44065925	44084222	chr11:44065925	ACCS	protein_coding	chr11	44065925	44084237	chr11:44065925	ENSG00000110455
ACD	565.429712884924	-0.399368716940592	0.211259315092478	-1.89041944382793	0.058701884979664	0.314009623136663	ENSG00000102977	ACD	protein_coding	chr16	67657512	67660815	chr16:67657512	ACD	protein_coding	chr16	67657512	67660810	chr16:67657512	ENSG00000102977
ACE	569.936886850992	0.26029435128992	0.282851326007663	0.920251479686783	0.357441358036893	0.693970326325304	ENSG00000159640	ACE	protein_coding	chr17	63477061	63498380	chr17:63477061	ACE	protein_coding	chr17	63477061	63498380	chr17:63477061	ENSG00000159640
ACER1	95.5645552322742	0.0744711480700055	0.226490094073097	0.328805320933686	0.742302840988558	0.90922913450831	ENSG00000167769	ACER1	protein_coding	chr19	6306142	6333629	chr19:6306142	ACER1	protein_coding	chr19	6306142	6333612	chr19:6306142	ENSG00000167769
